月平均值查詢-基隆
資料時間：2025年
"測項","日期","平均值","單位","備註"
CH4,2025/01,2.11,ppm,
CH4,2025/02,2.11,ppm,
CH4,2025/03,2.15,ppm,
CH4,2025/04,2.13,ppm,
CH4,2025/05,2.09,ppm,
CH4,2025/06,2,ppm,
CH4,2025/07,1.99,ppm,
CH4,2025/08,1.98,ppm,
CH4,2025/09,2,ppm,
CH4,2025/10,2.03,ppm,
CH4,2025/11,2.09,ppm,
CH4,2025/12,2.13,ppm,
CO,2025/01,0.28,ppm,
CO,2025/02,0.31,ppm,
CO,2025/03,0.32,ppm,
CO,2025/04,0.3,ppm,
CO,2025/05,0.25,ppm,
CO,2025/06,0.19,ppm,
CO,2025/07,0.17,ppm,
CO,2025/08,0.16,ppm,
CO,2025/09,0.15,ppm,
CO,2025/10,0.17,ppm,
CO,2025/11,0.21,ppm,
CO,2025/12,0.25,ppm,
NMHC,2025/01,0.05,ppm,
NMHC,2025/02,0.05,ppm,
NMHC,2025/03,0.07,ppm,
NMHC,2025/04,0.06,ppm,
NMHC,2025/05,0.08,ppm,
NMHC,2025/06,0.06,ppm,
NMHC,2025/07,0.03,ppm,
NMHC,2025/08,0.03,ppm,
NMHC,2025/09,0.04,ppm,
NMHC,2025/10,0.03,ppm,
NMHC,2025/11,0.04,ppm,
NMHC,2025/12,0.05,ppm,
NO,2025/01,1.5,ppb,
NO,2025/02,1.68,ppb,
NO,2025/03,2.56,ppb,
NO,2025/04,1.66,ppb,
NO,2025/05,1.35,ppb,
NO,2025/06,2.23,ppb,
NO,2025/07,1.63,ppb,
NO,2025/08,1.78,ppb,
NO,2025/09,1.83,ppb,
NO,2025/10,1.4,ppb,
NO,2025/11,1.54,ppb,
NO,2025/12,1.9,ppb,
NO2,2025/01,8.07,ppb,
NO2,2025/02,8.19,ppb,
NO2,2025/03,11.7,ppb,
NO2,2025/04,9.97,ppb,
NO2,2025/05,8.03,ppb,
NO2,2025/06,7.29,ppb,
NO2,2025/07,6.26,ppb,
NO2,2025/08,5.45,ppb,
NO2,2025/09,5.23,ppb,
NO2,2025/10,4.29,ppb,
NO2,2025/11,5.75,ppb,
NO2,2025/12,8.11,ppb,
NOx,2025/01,9.62,ppb,
NOx,2025/02,9.92,ppb,
NOx,2025/03,14.31,ppb,
NOx,2025/04,11.68,ppb,
NOx,2025/05,9.43,ppb,
NOx,2025/06,9.57,ppb,
NOx,2025/07,7.94,ppb,
NOx,2025/08,7.28,ppb,
NOx,2025/09,7.12,ppb,
NOx,2025/10,5.75,ppb,
NOx,2025/11,7.34,ppb,
NOx,2025/12,10.06,ppb,
O3,2025/01,40.64,ppb,
O3,2025/02,38.54,ppb,
O3,2025/03,35.19,ppb,
O3,2025/04,40.22,ppb,
O3,2025/05,37.53,ppb,
O3,2025/06,21.44,ppb,
O3,2025/07,19.11,ppb,
O3,2025/08,16.75,ppb,
O3,2025/09,16.54,ppb,
O3,2025/10,29.45,ppb,
O3,2025/11,36.31,ppb,
O3,2025/12,32.56,ppb,
PM10,2025/01,27.2,μg/m3,
PM10,2025/02,21.5,μg/m3,
PM10,2025/03,24.1,μg/m3,
PM10,2025/04,32.2,μg/m3,
PM10,2025/05,21.5,μg/m3,
PM10,2025/06,15.2,μg/m3,
PM10,2025/07,14.7,μg/m3,
PM10,2025/08,12.9,μg/m3,
PM10,2025/09,10.6,μg/m3,
PM10,2025/10,18.6,μg/m3,
PM10,2025/11,32.8,μg/m3,
PM10,2025/12,23.9,μg/m3,
PM2.5,2025/01,12.2,μg/m3,
PM2.5,2025/02,12.7,μg/m3,
PM2.5,2025/03,12.5,μg/m3,
PM2.5,2025/04,13.6,μg/m3,
PM2.5,2025/05,11.3,μg/m3,
PM2.5,2025/06,5.8,μg/m3,
PM2.5,2025/07,5,μg/m3,
PM2.5,2025/08,5,μg/m3,
PM2.5,2025/09,5,μg/m3,
PM2.5,2025/10,7,μg/m3,
PM2.5,2025/11,11.1,μg/m3,
PM2.5,2025/12,11.3,μg/m3,
SO2,2025/01,1.32,ppb,
SO2,2025/02,1.29,ppb,
SO2,2025/03,1.53,ppb,
SO2,2025/04,1.34,ppb,
SO2,2025/05,1.18,ppb,
SO2,2025/06,1.05,ppb,
SO2,2025/07,0.81,ppb,
SO2,2025/08,0.84,ppb,
SO2,2025/09,0.91,ppb,
SO2,2025/10,0.91,ppb,
SO2,2025/11,0.99,ppb,
SO2,2025/12,1.07,ppb,
THC,2025/01,2.17,ppm,
THC,2025/02,2.17,ppm,
THC,2025/03,2.23,ppm,
THC,2025/04,2.2,ppm,
THC,2025/05,2.17,ppm,
THC,2025/06,2.07,ppm,
THC,2025/07,2.03,ppm,
THC,2025/08,2.01,ppm,
THC,2025/09,2.05,ppm,
THC,2025/10,2.07,ppm,
THC,2025/11,2.14,ppm,
THC,2025/12,2.19,ppm,
